Rank,Name,Vocation,World,Level,Score,Category
776,Sushinee,Elite Knight,Rasteibra,1007,"6,523",Drome Score
777,Hybris Dionisiaco,Elite Knight,Descubra,857,"6,520",Drome Score
778,Tefroq,Elite Knight,Quintera,1015,"6,518",Drome Score
779,Zaharus Shine,Master Sorcerer,Celesta,421,"6,517",Drome Score
780,Dragon Higa,Royal Paladin,Issobra,1060,"6,511",Drome Score
781,Fala Wela,Elite Knight,Karmeya,1217,"6,510",Drome Score
782,Boom Dois Lutabra,Elder Druid,Lutabra,401,"6,504",Drome Score
782,Eca Maga,Elder Druid,Belobra,609,"6,504",Drome Score
782,Huitzi Optimus,Elder Druid,Calmera,941,"6,504",Drome Score
785,Moonryell,Master Sorcerer,Kalibra,1911,"6,501",Drome Score
785,Sorin Emperor,Elder Druid,Ourobra,2180,"6,501",Drome Score
787,Jabzhie Jamirovski,Royal Paladin,Descubra,286,"6,500",Drome Score
788,Feh Tryhard,Elite Knight,Serdebra,1667,"6,493",Drome Score
788,Godslayers,Master Sorcerer,Talera,1479,"6,493",Drome Score
790,Lord Tenchi,Elite Knight,Kalibra,1157,"6,492",Drome Score
791,Wielki Halley,Elite Knight,Celesta,408,"6,482",Drome Score
792,Leozinho Godd,Elite Knight,Inabra,991,"6,481",Drome Score
793,Luan Edzinho,Elder Druid,Belobra,1764,"6,480",Drome Score
793,Newton of Fortera,Elder Druid,Ferobra,1018,"6,480",Drome Score
795,Fillevandrell,Royal Paladin,Celesta,1064,"6,478",Drome Score
796,Uzi Bakiena,Royal Paladin,Solidera,1067,"6,477",Drome Score
797,Mekambe,Master Sorcerer,Thyria,861,"6,475",Drome Score
798,Babis,Master Sorcerer,Epoca,1419,"6,474",Drome Score
799,Bem Supremo,Elder Druid,Luminera,1515,"6,472",Drome Score
800,Teryk Paladinu,Royal Paladin,Terribra,1210,"6,471",Drome Score
801,Krwiopalczasty,Elite Knight,Quintera,612,"6,470",Drome Score
801,Mroczny Rabarbar,Elite Knight,Karmeya,1778,"6,470",Drome Score
803,Highwin Egoista,Royal Paladin,Collabra,1871,"6,467",Drome Score
803,Ikki'on Fenix,Elite Knight,Refugia,917,"6,467",Drome Score
805,Burrito Banton,Royal Paladin,Bona,635,"6,466",Drome Score
806,Jhonnyxz,Elite Knight,Quintera,1526,"6,457",Drome Score
806,Ulvis,Elder Druid,Collabra,1455,"6,457",Drome Score
808,Ariio,Elite Knight,Monza,676,"6,456",Drome Score
809,Gherg,Royal Paladin,Retalia,607,"6,454",Drome Score
809,John Sentinels,Master Sorcerer,Gentebra,1706,"6,454",Drome Score
811,Angel Azteca,Elite Knight,Nefera,1046,"6,453",Drome Score
812,Arctures,Elite Knight,Kalibra,549,"6,450",Drome Score
813,Izexy,Elder Druid,Secura,661,"6,448",Drome Score
814,Dennis Raa,Elite Knight,Peloria,830,"6,447",Drome Score
815,Clubmiiral,Elite Knight,Zuna,367,"6,446",Drome Score
816,Thanatos Celestial,Elder Druid,Collabra,1787,"6,440",Drome Score
817,Manti Siki,Elder Druid,Wintera,850,"6,435",Drome Score
817,Maria Maya,Elite Knight,Celebra,1096,"6,435",Drome Score
819,Hatlaz,Elite Knight,Gentebra,890,"6,432",Drome Score
820,Furious Squire,Royal Paladin,Honbra,372,"6,429",Drome Score
821,Avacy,Elder Druid,Quintera,787,"6,428",Drome Score
821,Dante full demon,Elite Knight,Pacera,924,"6,428",Drome Score
823,Speedda,Elder Druid,Thyria,1721,"6,426",Drome Score
824,Vimpra Teatormentar,Elder Druid,Karmeya,1806,"6,423",Drome Score
825,Echoes of Memoria,Royal Paladin,Secura,1586,"6,421",Drome Score
826,Hunterzerah Bosses,Royal Paladin,Ustebra,564,"6,418",Drome Score
827,Keplerz,Royal Paladin,Celebra,1503,"6,412",Drome Score
828,Anndo,Royal Paladin,Harmonia,1072,"6,405",Drome Score
829,Magical'Mephistus,Royal Paladin,Yonabra,1421,"6,404",Drome Score
830,Nightt Gaze,Master Sorcerer,Karmeya,2164,"6,402",Drome Score
831,Balas King,Royal Paladin,Nevia,1506,"6,401",Drome Score
832,Chicatek,Elite Knight,Nefera,813,"6,400",Drome Score
833,Smartguy,Royal Paladin,Secura,1190,"6,398",Drome Score
834,Kawamate San,Elite Knight,Pacera,690,"6,397",Drome Score
835,Oy Xokx,Elite Knight,Eclipta,321,"6,392",Drome Score
836,Trixzinos,Elite Knight,Honbra,1166,"6,391",Drome Score
837,Elder Baya,Elder Druid,Astera,1206,"6,388",Drome Score
837,Estelar,Royal Paladin,Astera,625,"6,388",Drome Score
839,Palyziin Thurkson,Royal Paladin,Serdebra,771,"6,387",Drome Score
840,Smuckerin,Elite Knight,Astera,654,"6,386",Drome Score
841,Drizzt Darkcrown,Elder Druid,Quidera,851,"6,384",Drome Score
842,Legorn Sunrise,Elite Knight,Antica,632,"6,382",Drome Score
843,Magiczny Zing,Elite Knight,Refugia,838,"6,378",Drome Score
844,Eduzerah Knight,Elite Knight,Terribra,1125,"6,376",Drome Score
845,Artem Elven,Elder Druid,Celebra,977,"6,374",Drome Score
846,Slug Princess Tsunade,Elder Druid,Monza,1740,"6,370",Drome Score
846,Statue,Royal Paladin,Antica,389,"6,370",Drome Score
848,Ree Nan,Elder Druid,Inabra,1005,"6,369",Drome Score
849,Eduk Etemox,Elite Knight,Menera,1685,"6,365",Drome Score
850,Kobra Lance,Royal Paladin,Wintera,965,"6,360",Drome Score
851,Cosmiic Death,Master Sorcerer,Yonabra,1846,"6,358",Drome Score
852,Michael Calmera Second,Royal Paladin,Calmera,498,"6,356",Drome Score
852,Old Thyron,Elder Druid,Peloria,412,"6,356",Drome Score
854,Khaos Poderoso,Master Sorcerer,Rasteibra,2542,"6,353",Drome Score
855,Shadow of the Candia,Master Sorcerer,Monza,1071,"6,352",Drome Score
856,Tankitos,Royal Paladin,Peloria,384,"6,351",Drome Score
857,Rekovni,Elder Druid,Secura,1283,"6,350",Drome Score
858,Kimpsuu,Royal Paladin,Vunira,1259,"6,345",Drome Score
859,Bohen,Master Sorcerer,Antica,381,"6,343",Drome Score
859,Picture,Elite Knight,Antica,969,"6,343",Drome Score
859,Toksyczny Arielek,Royal Paladin,Monza,1511,"6,343",Drome Score
862,Warmort,Elite Knight,Nefera,825,"6,342",Drome Score
863,Lesarian,Master Sorcerer,Celesta,1665,"6,337",Drome Score
864,Adoxi,Elite Knight,Peloria,315,"6,335",Drome Score
865,John Mcgyver,Elite Knight,Yonabra,986,"6,334",Drome Score
865,Skymarz,Elite Knight,Gentebra,1139,"6,334",Drome Score
867,Zamazzu,Royal Paladin,Ferobra,1342,"6,331",Drome Score
868,Abraca dabra,Master Sorcerer,Peloria,364,"6,328",Drome Score
869,Nieustraszony Kamil,Elite Knight,Karmeya,1020,"6,327",Drome Score
869,Rsa,Royal Paladin,Peloria,856,"6,327",Drome Score
871,Lilybone,Royal Paladin,Harmonia,1150,"6,322",Drome Score
872,Beatrix Kiddo,Elder Druid,Serdebra,872,"6,320",Drome Score
872,Xafira,Elder Druid,Secura,1089,"6,320",Drome Score
874,Dorivall,Elder Druid,Ombra,1874,"6,319",Drome Score
875,Abs Lilozin,Elite Knight,Rasteibra,1754,"6,317",Drome Score
876,Orzack,Elite Knight,Quelibra,1792,"6,316",Drome Score
877,Mineirim Foradalei,Elder Druid,Etebra,1299,"6,313",Drome Score
878,Dudodix,Master Sorcerer,Ferobra,1725,"6,306",Drome Score
879,Shainy Marilover,Royal Paladin,Solidera,1299,"6,304",Drome Score
880,Diones Machine,Elite Knight,Descubra,2142,"6,302",Drome Score
881,Only Hans,Elder Druid,Nevia,1371,"6,301",Drome Score
881,Sweetie Leti,Elder Druid,Inabra,1018,"6,301",Drome Score
883,Lethal Mole,Master Sorcerer,Monza,679,"6,300",Drome Score
884,Veigh,Elder Druid,Nefera,1384,"6,299",Drome Score
884,Xivi Pall,Royal Paladin,Secura,1264,"6,299",Drome Score
886,Goutheer,Royal Paladin,Celebra,1825,"6,295",Drome Score
886,Slime Slayer,Master Sorcerer,Refugia,455,"6,295",Drome Score
888,Sechetto,Elite Knight,Harmonia,1217,"6,294",Drome Score
889,Romper ek,Elite Knight,Harmonia,890,"6,292",Drome Score
890,Brownxzs,Royal Paladin,Yonabra,1879,"6,291",Drome Score
891,Amzt,Royal Paladin,Kalibra,1407,"6,289",Drome Score
891,Cris Gus,Royal Paladin,Terribra,722,"6,289",Drome Score
893,Er Wings,Elite Knight,Solidera,1422,"6,287",Drome Score
894,Danibolt,Royal Paladin,Antica,1389,"6,286",Drome Score
895,Toxic Ghost Esecee,Master Sorcerer,Havera,2059,"6,284",Drome Score
896,Matek Pogromca Huraganu,Royal Paladin,Secura,331,"6,283",Drome Score
897,Sir Dryn,Royal Paladin,Bona,1001,"6,280",Drome Score
898,Ellmagnifinho Danynho,Royal Paladin,Inabra,2172,"6,278",Drome Score
899,Aitch Tee Knight,Elite Knight,Luminera,804,"6,277",Drome Score
900,Drako Pro,Elder Druid,Pacera,1988,"6,276",Drome Score
901,Kate Walker,Elite Knight,Nevia,1300,"6,275",Drome Score
901,Ston Evil,Elite Knight,Serdebra,1136,"6,275",Drome Score
903,Xuliao Overlure,Royal Paladin,Belobra,1573,"6,272",Drome Score
904,Fernando Warloyalty,Royal Paladin,Gladibra,1420,"6,270",Drome Score
904,Mbeer,Master Sorcerer,Ustebra,1589,"6,270",Drome Score
906,Holy Mouse,Elite Knight,Refugia,1164,"6,268",Drome Score
906,Rubbet,Master Sorcerer,Terribra,329,"6,268",Drome Score
908,Miituzs,Master Sorcerer,Thyria,437,"6,266",Drome Score
908,Zazulejo,Elder Druid,Collabra,1760,"6,266",Drome Score
910,Lestax,Elite Knight,Quintera,557,"6,265",Drome Score
911,Don Ginepo,Master Sorcerer,Wintera,1021,"6,263",Drome Score
912,Kokobolo,Elite Knight,Harmonia,923,"6,262",Drome Score
913,Carlin Tadafilado,Master Sorcerer,Inabra,1343,"6,261",Drome Score
914,Imooxi,Royal Paladin,Karmeya,330,"6,259",Drome Score
915,Ney Lucifer,Elder Druid,Pacera,829,"6,257",Drome Score
915,Skyllaw,Elite Knight,Honbra,1064,"6,257",Drome Score
917,Curse Psion,Master Sorcerer,Secura,876,"6,254",Drome Score
918,Lacerator,Elite Knight,Inabra,1348,"6,253",Drome Score
919,Bella-Swan,Royal Paladin,Lobera,1177,"6,251",Drome Score
920,Maxigashi,Elite Knight,Secura,1126,"6,250",Drome Score
920,Owbapzera,Royal Paladin,Descubra,2042,"6,250",Drome Score
922,Thiago Toaled,Master Sorcerer,Kalibra,964,"6,249",Drome Score
923,Paladin Tavok,Royal Paladin,Nefera,1283,"6,248",Drome Score
924,Warenxxlegend,Elder Druid,Ferobra,1304,"6,241",Drome Score
925,Ed Maravilha,Elder Druid,Ustebra,1516,"6,237",Drome Score
925,Gazu Ki Dreams,Master Sorcerer,Menera,1050,"6,237",Drome Score
927,Rii car do,Elder Druid,Luminera,1719,"6,235",Drome Score
928,Frizs,Master Sorcerer,Celebra,1511,"6,231",Drome Score
928,Kisiel Grillowany,Elite Knight,Premia,1274,"6,231",Drome Score
928,Vataryel Godlike,Elite Knight,Issobra,1469,"6,231",Drome Score
931,Ayeevi,Master Sorcerer,Refugia,864,"6,224",Drome Score
932,Aran Gala,Elder Druid,Karmeya,927,"6,222",Drome Score
933,Tejow Corporation,Elite Knight,Issobra,2569,"6,217",Drome Score
934,Abel Shaene,Elder Druid,Ustebra,1796,"6,216",Drome Score
934,Sky Megazzord,Elite Knight,Kalibra,1651,"6,216",Drome Score
936,Sorin Vilao,Master Sorcerer,Ourobra,1686,"6,215",Drome Score
937,Kerothy,Elite Knight,Inabra,712,"6,211",Drome Score
938,Maatka,Master Sorcerer,Secura,1703,"6,210",Drome Score
939,Qelly,Master Sorcerer,Antica,697,"6,208",Drome Score
939,Xenek Demon Slayer,Paladin,Refugia,766,"6,208",Drome Score
941,Brilha Brilha Sdzinha,Master Sorcerer,Rasteibra,1337,"6,207",Drome Score
941,Fok,Royal Paladin,Secura,1544,"6,207",Drome Score
941,Koolhaus,Elite Knight,Monza,891,"6,207",Drome Score
941,Many Mern,Elder Druid,Secura,987,"6,207",Drome Score
945,Wojjtekk,Royal Paladin,Vunira,1283,"6,206",Drome Score
946,Avasalador,Elder Druid,Kalibra,1631,"6,203",Drome Score
946,Ewaldo lee,Elite Knight,Ferobra,1252,"6,203",Drome Score
948,Gabz Implacavel,Royal Paladin,Collabra,1968,"6,199",Drome Score
948,Robin Schud,Royal Paladin,Nevia,679,"6,199",Drome Score
950,Nyxtrik Makai,Elder Druid,Ustebra,1591,"6,197",Drome Score
951,Princess Ann,Elder Druid,Calmera,760,"6,195",Drome Score
952,Durak Bloodblade,Elite Knight,Ourobra,1369,"6,194",Drome Score
952,Rolan Aneon,Royal Paladin,Peloria,875,"6,194",Drome Score
954,Burk,Elder Druid,Celebra,1934,"6,191",Drome Score
955,Mandatory Dinnerz,Royal Paladin,Epoca,753,"6,189",Drome Score
956,Mell,Elite Knight,Astera,1334,"6,188",Drome Score
956,Prizs,Royal Paladin,Kalibra,1319,"6,188",Drome Score
958,Jarpi,Elder Druid,Zuna,933,"6,183",Drome Score
959,Just keep going,Royal Paladin,Rasteibra,1524,"6,182",Drome Score
959,Madara Darkness,Elder Druid,Quelibra,824,"6,182",Drome Score
961,Victor Kriminal,Elder Druid,Talera,917,"6,181",Drome Score
962,Eltakokrazy,Royal Paladin,Havera,1062,"6,179",Drome Score
963,Jeaan Kee,Elite Knight,Luminera,1808,"6,172",Drome Score
963,Myth Herus,Elder Druid,Ombra,1723,"6,172",Drome Score
965,Mister Piiiink,Elite Knight,Belobra,2246,"6,169",Drome Score
966,Light Wave,Royal Paladin,Menera,1225,"6,168",Drome Score
967,Womolu,Elite Knight,Celebra,1788,"6,167",Drome Score
968,Duans,Elder Druid,Gladibra,509,"6,165",Drome Score
969,Ghazann,Elite Knight,Luminera,1092,"6,164",Drome Score
970,Toto Lover,Master Sorcerer,Xyla,1237,"6,163",Drome Score
971,Kanzerbero,Elite Knight,Quintera,1160,"6,162",Drome Score
971,Rubenos,Elite Knight,Nevia,1012,"6,162",Drome Score
973,Diego Supremo,Elder Druid,Luminera,1268,"6,158",Drome Score
974,Naom,Elder Druid,Secura,852,"6,151",Drome Score
975,Lime Layer,Elite Knight,Refugia,408,"6,146",Drome Score
976,Gumis,Elite Knight,Solidera,1003,"6,144",Drome Score
977,Desatraente,Royal Paladin,Astera,973,"6,139",Drome Score
978,Memento Mori Marius,Master Sorcerer,Blumera,781,"6,138",Drome Score
979,Figolo,Elite Knight,Monza,2063,"6,134",Drome Score
980,Der Eda,Royal Paladin,Belobra,1855,"6,132",Drome Score
981,Uchiha Dono Tornabra,Master Sorcerer,Tornabra,1704,"6,131",Drome Score
982,Izaur,Royal Paladin,Bona,882,"6,129",Drome Score
982,Lidanyl,Elite Knight,Astera,1507,"6,129",Drome Score
982,Sorceror King,Master Sorcerer,Antica,553,"6,129",Drome Score
982,Yutaa,Elite Knight,Wintera,1136,"6,129",Drome Score
986,Halinux,Royal Paladin,Peloria,409,"6,127",Drome Score
987,Krysson,Royal Paladin,Vunira,1006,"6,125",Drome Score
988,Tyrann Undead,Elite Knight,Nevia,1244,"6,123",Drome Score
989,Mystic Glance,Elder Druid,Vunira,1216,"6,117",Drome Score
990,Kamoa,Elite Knight,Gladera,825,"6,114",Drome Score
991,Ciupoga,Master Sorcerer,Monza,385,"6,113",Drome Score
991,Jaime Armeiro,Elite Knight,Celesta,633,"6,113",Drome Score
991,Ma rianne,Elder Druid,Yonabra,1147,"6,113",Drome Score
994,Elite Borgex,Elite Knight,Monza,1716,"6,112",Drome Score
995,Luucask,Elder Druid,Secura,1547,"6,104",Drome Score
996,Nightmare Leonhart,Master Sorcerer,Descubra,511,"6,100",Drome Score
997,Nyghtz,Royal Paladin,Yonabra,2003,"6,099",Drome Score
998,Alluring Sapphire,Elder Druid,Refugia,865,"6,097",Drome Score
998,Chucky Love,Royal Paladin,Ferobra,1592,"6,097",Drome Score
998,Kilogramik Elite,Elite Knight,Nevia,1458,"6,097",Drome Score
